data,periodo,regime_confirmacao_1m,regime_confirmacao_2m,regime_confirmacao_3m,NG=F,ZC=F,GC=F,USDBRL=X,EURBRL=X,JPYBRL=X,IMAB11.SA,B5MB11.SA,IB5M11.SA,BOVV11.SA,FIND11.SA,MATB11.SA,CDI,retorno_bruto_MODELO_BASE_4_ATIVOS,turnover_MODELO_BASE_4_ATIVOS,custo_MODELO_BASE_4_ATIVOS,retorno_liquido_MODELO_BASE_4_ATIVOS,retorno_bruto_MODELO_SELECIONADO_5_ATIVOS,turnover_MODELO_SELECIONADO_5_ATIVOS,custo_MODELO_SELECIONADO_5_ATIVOS,retorno_liquido_MODELO_SELECIONADO_5_ATIVOS,retorno_bruto_BENCHMARK_5_ATIVOS,turnover_BENCHMARK_5_ATIVOS,custo_BENCHMARK_5_ATIVOS,retorno_liquido_BENCHMARK_5_ATIVOS,peso_selecionado_NG=F,peso_selecionado_ZC=F,peso_selecionado_GC=F,peso_selecionado_USDBRL=X,peso_selecionado_EURBRL=X,peso_selecionado_JPYBRL=X,peso_selecionado_IMAB11.SA,peso_selecionado_B5MB11.SA,peso_selecionado_IB5M11.SA,peso_selecionado_BOVV11.SA,peso_selecionado_FIND11.SA,peso_selecionado_MATB11.SA,peso_selecionado_CDI
2020-11-30,TREINO,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,RECESSAO_DESINFLACIONARIA,-0.1407275221187603,0.0533249686323715,-0.0541706998613292,-0.0753400718416592,-0.052608198485068,-0.0712721718037842,0.0021955077912345,0.0280422759624732,-0.0026525198938988,0.1611228690531638,0.1792695551278085,0.1444964416558152,0.0014948604084066,0.01430670285153059,0.024366150387003085,2.4366150387003086e-05,0.014281988101870535,0.010463150118593393,0.019767677187908516,1.9767677187908517e-05,0.01044317560923158,0.01332117650975182,0.023294495044917436,2.3294495044917437e-05,0.013297571704626643,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.058333333333333334,0.3
2020-12-31,TREINO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,RECESSAO_DESINFLACIONARIA,-0.1596113959118407,0.1304347826086962,0.0649321687214288,-0.0250632026765348,-0.0014398998533002,-0.0199306080486962,0.0463917338261508,0.071246819338423,0.0509574565481636,0.0907763606681577,0.1212350369423691,0.1158174743425113,0.0016444692975896,0.04047889387546072,0.04064538161741092,4.0645381617410925e-05,0.04043660321375442,0.024945124044312275,0.1030574262329284,0.00010305742623292841,0.02483949583779843,0.03749163044639371,0.037929369093469514,3.7929369093469515e-05,0.037452279043411085,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2021-01-31,TREINO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,0.0586292171640903,0.1527924130663862,-0.0231094400697375,0.0440404693631728,0.0328046211995005,0.0362985670684796,2.220446049250313e-16,-0.0137766930949376,-0.0049599945260498,-0.034376051307104,-0.0606521411704832,-0.00146704599575,0.0014948604084066,0.015518660141463962,0.029470458599891745,2.9470458599891746e-05,0.015488732340832811,0.00990914024824102,0.024012546091205258,2.401254609120526e-05,0.009884889758462911,0.014439906315844166,0.02905371274073268,2.905371274073268e-05,0.01441043307021328,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2021-02-28,TREINO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,0.0807332394474913,0.0155393053016454,-0.064526644341185,0.0165568395752833,0.0201988062535969,-0.0031267398318779,-0.0169950407054518,-0.0183044457612536,-0.019125176240559,-0.0451277541982815,-0.0737409817741164,0.101010099594774,0.0013452738652959,-0.0005757077233278576,0.02026649015652636,2.0266490156526358e-05,-0.0005959625459094342,0.00019268491212164594,0.01361605592324984,1.361605592324984e-05,0.0001790662325900083,-0.00042793990881833847,0.019136422337488454,1.9136422337488455e-05,-0.0004470681419169731,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2021-03-31,TREINO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,-0.0588234838608421,0.0157515751575165,-0.0082749418204015,0.0440617784237178,0.0060690945030739,0.0064654946855386,-0.004760677209606,-0.0186457458040012,-0.0130677715283523,0.0618650202012183,0.0630096879977628,0.0558798737529293,0.0020107988327939,0.012460825374879508,0.019754441850529235,1.9754441850529236e-05,0.012440824776378756,0.008280814758045265,0.012112444976482981,1.2112444976482982e-05,0.008268602012155846,0.011656977179334461,0.018311775069430207,1.8311775069430208e-05,0.011638451944320893,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2021-04-30,TREINO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,0.1238496737971313,0.3114754098360659,0.0312171773110774,-0.0754036584174941,-0.0436910836373519,-0.0629779473980781,0.0187562665908598,0.0069999694824225,0.0101932908152553,0.0192209127535121,0.0113252855727241,0.1287519401170866,0.002077848024335,0.039976436401934254,0.014672486101107704,1.4672486101107704e-05,0.039961177362125566,0.024817001050894547,0.009876408378885565,9.876408378885565e-06,0.024806879539678528,0.03706116037288815,0.013860204956085427,1.3860204956085428e-05,0.03704678649265336,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2021-05-31,TREINO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,0.0187649494590842,-0.1124999999999996,0.076500847301806,-0.0184018896204722,-0.0129871575619555,-0.0267904690338767,0.002842003658301,0.0105263676277287,0.0195569014514425,0.058251653003543,0.0701706530073891,-0.0456262371739136,0.0027032626398217,0.003358968509923075,0.03558956554191457,3.5589565541914576e-05,0.003323259400151324,0.003096686161882525,0.024200720535916865,2.4200720535916866e-05,0.003072410499310285,0.0033085295968383545,0.03359297035604961,3.3592970356049615e-05,0.003274825483145394,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2021-06-30,TREINO,ESTAGFLACAO,EXPANSAO_INFLACIONARIA,EXPANSAO_INFLACIONARIA,0.2223710719222447,0.0963075751808146,-0.0692246786711557,-0.0540453052633409,-0.0765833067485982,-0.0601924495097703,-0.012444579727169,0.0062893020461189,0.0029588910234308,0.009662610486786,-0.0042194092827,0.0013197878672603,0.0030777896833165,0.005183292443660102,0.01940295614725654,1.940295614725654e-05,0.005163788916316969,0.004341091339522663,0.011723259488554544,1.1723259488554544e-05,0.004329317188294102,0.005021330692864441,0.017934524193589776,1.7934524193589778e-05,0.005003306113493977,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.4
2021-07-31,TREINO,ESTAGFLACAO,ESTAGFLACAO,EXPANSAO_INFLACIONARIA,0.0723287485115169,-0.2402777777777772,0.0236051082026313,0.0252870636450719,0.024376611246514,0.0358273923932506,0.0063630957769329,-0.0039062648429535,-0.0043743671599811,-0.0393787585524713,-0.0381355932203383,-0.0174282727399082,0.0035561617801918,-0.012976084543126001,0.026023229811336257,2.6023229811336256e-05,-0.013001770093307274,-0.0047099613814671005,0.10050313650097548,0.00010050313650097548,-0.004809991152076476,-0.011704373287486169,0.024074899419731947,2.4074899419731947e-05,-0.01172816640529617,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.5
2021-08-31,TREINO,ESTAGFLACAO,ESTAGFLACAO,ESTAGFLACAO,0.1182932592355527,-0.0237659963436922,0.0013240783660981,0.0201755692569745,0.0121217725230882,0.0151189085040535,-0.0112819690155405,-0.0232353210449215,-0.0242158238486897,-0.0263759248055441,-0.0298678360321443,-0.0423311446253067,0.0042795247734248,-0.001170035652506,0.02392006074027512,2.392006074027512e-05,-0.0011939277259223058,0.0015547445604593999,0.013244906195206692,1.3244906195206692e-05,0.0015414790618182295,-0.0007508386966651703,0.022447573949561855,2.2447573949561855e-05,-0.0007732694161075582,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.04166666666666667,0.5
