candidato,meses_confirmacao,quantidade_mudancas_regime_treino,peso_cdi_expansao_desinflacionaria,peso_cdi_expansao_inflacionaria,peso_cdi_estagflacao,peso_cdi_recessao_desinflacionaria,peso_cdi_medio,peso_cdi_maximo,excesso_retorno_anualizado_vs_benchmark,quantidade_meses,retorno_total_bruto,retorno_total_liquido,retorno_anualizado_liquido,volatilidade_anualizada_liquida,retorno_volatilidade_liquido,maximo_drawdown_liquido,meses_positivos,melhor_mes,pior_mes,turnover_total,turnover_medio_mensal,custo_acumulado_simples,indice_final_liquido,quantidade_janelas_12m,proporcao_janelas_12m_positivas,media_excesso_12m,mediana_excesso_12m,pior_excesso_12m,melhor_excesso_12m,respeita_limite_turnover
conf_2m_cdi_30_50_30_00,2,8,0.3,0.5,0.3,0.0,0.275,0.5,0.00022287038319390717,48,0.35153581510726073,0.3463247472541431,0.0771779560524235,0.05978137368541017,1.2910033894262791,-0.06031351816032082,0.7083333333333334,0.051505551784493786,-0.04352260520278617,3.8622458822983825,0.0804634558812163,0.003862245882298382,134.6324747254143,37,0.5675675675675675,-0.0019723076291848145,0.004879010329884137,-0.07774576638373532,0.04633963670309149,False
conf_2m_cdi_30_50_30_10,2,8,0.3,0.5,0.3,0.1,0.30000000000000004,0.5,-0.0032407413884047997,48,0.33396261212384615,0.32909192802995335,0.0737143442808248,0.05760807124061437,1.2795836189852388,-0.06031351816032082,0.7083333333333334,0.046512900945293145,-0.04352260520278617,3.657190834637156,0.07619147572160742,0.003657190834637156,132.90919280299534,37,0.5675675675675675,-0.0055564558497835535,0.004879010329884137,-0.09395877723683599,0.04633963670309149,False
conf_2m_cdi_30_50_30_20,2,8,0.3,0.5,0.3,0.2,0.325,0.5,-0.0067078154778315024,48,0.31654515954882934,0.3120080965456513,0.07024727019139809,0.055603889048373996,1.2633517438013144,-0.06031351816032082,0.7083333333333334,0.04152069542759018,-0.04352260520278617,3.451428571128927,0.07190476189851931,0.0034514285711289274,131.20080965456512,37,0.5675675675675675,-0.00911318219854651,0.004879010329884137,-0.11003161718624699,0.04633963670309149,False
conf_2m_cdi_30_50_30_30,2,8,0.3,0.5,0.3,0.3,0.35000000000000003,0.5,-0.010178242864793852,48,0.29928273583463727,0.2950732065791575,0.06677684280443574,0.053787710861077344,1.2414888407671163,-0.06031351816032082,0.7083333333333334,0.03652893371422139,-0.04352260520278617,3.2444844823425307,0.06759342671546939,0.003244484482342531,129.50732065791576,37,0.5675675675675675,-0.012642470076298736,0.004879010329884137,-0.12596432971870564,0.04633963670309149,False
conf_2m_cdi_30_50_30_40,2,8,0.3,0.5,0.3,0.4,0.375,0.5,-0.013652049572270508,48,0.2821746192507517,0.27828653944902415,0.06330303609695909,0.05217917128764698,1.213185923325417,-0.06031351816032082,0.7083333333333334,0.03153747705339782,-0.04352260520278617,3.036384970728919,0.06325802022351915,0.0030363849707289187,127.82865394490241,37,0.5675675675675675,-0.01614442865708122,0.004879010329884137,-0.14175759098533613,0.04633963670309149,False
conf_2m_cdi_30_50_30_50,2,8,0.3,0.5,0.3,0.5,0.4,0.5,-0.017139074846999947,48,0.2652200878939621,0.2616006519721492,0.05981601082222965,0.050794948861625805,1.177597618715569,-0.06031351816032082,0.7083333333333334,0.02654646248898973,-0.04352260520278617,2.864193011384296,0.05967068773717283,0.002864193011384296,126.16006519721492,37,0.5675675675675675,-0.019629938808034028,0.004879010329884137,-0.1574560365639004,0.04633963670309149,False
conf_2m_cdi_30_50_40_00,2,8,0.3,0.5,0.4,0.0,0.30000000000000004,0.5,0.0016650842787884201,48,0.35850532787515865,0.3535495192272957,0.07862016994801801,0.05943039768482209,1.3228948990879257,-0.06031351816032082,0.7083333333333334,0.051505551784493786,-0.04352260520278617,3.653815805690108,0.07612116261854392,0.0036538158056901083,135.35495192272958,37,0.5675675675675675,-0.00013904537987802373,0.008230168112598468,-0.07774576638373532,0.04633963670309149,False
conf_2m_cdi_30_50_40_10,2,8,0.3,0.5,0.4,0.1,0.32500000000000007,0.5,-0.0018031648593639371,48,0.3408415045314128,0.3362242236599333,0.07515192080986566,0.05725039588059515,1.3126882295557747,-0.06031351816032082,0.7083333333333334,0.046512900945293145,-0.04352260520278617,3.448760758028882,0.07184918245893504,0.0034487607580288822,133.62242236599334,37,0.5675675675675675,-0.003724382026756635,0.008230168112598468,-0.09395877723683599,0.04633963670309149,False
conf_2m_cdi_30_50_40_20,2,8,0.3,0.5,0.4,0.2,0.35000000000000003,0.5,-0.005274880950978833,48,0.3233342347597308,0.3190487153442021,0.07168020471825076,0.05524010194741605,1.2976117384157675,-0.06031351816032082,0.7083333333333334,0.04152069542759018,-0.04352260520278617,3.2429984945206534,0.06756246863584695,0.003242998494520653,131.9048715344202,37,0.5675675675675675,-0.007282293593376693,0.008230168112598468,-0.11003161718624699,0.04633963670309149,False
conf_2m_cdi_30_50_40_30,2,8,0.3,0.5,0.4,0.3,0.37500000000000006,0.5,-0.008749954829798012,48,0.30598279329170874,0.3020229478099836,0.06820513083943158,0.05341865433597438,1.2768036126567,-0.06031351816032082,0.7083333333333334,0.03652893371422139,-0.04352260520278617,3.036054405734257,0.06325113345279702,0.003036054405734257,130.20229478099836,37,0.5675675675675675,-0.01081276343227683,0.008230168112598468,-0.12596432971870564,0.04633963670309149,False
