data,IPCA_VARIACAO_3M_PP,IBC_BR_TENDENCIA_3M_PCT
2012-05-31,-0.859953210366915,0.6262573187464371
2012-06-30,-0.3242227227532757,1.5699018158991107
2012-07-31,0.09436393185842107,1.9556325874973357
2012-08-31,0.2513620497598623,1.8887227719722288
2012-09-30,0.36661865497826795,1.1351306274038242
2012-10-31,0.2515291684639376,0.6681980627491146
2012-11-30,0.29352854458595257,0.369808102356739
2012-12-31,0.5561803664354548,0.42840207348950887
2013-01-31,0.7041973069969121,0.27478564501384195
2013-02-28,0.7787917579606729,-0.08964340571885332
2013-03-31,0.7500997824811506,0.06649274732726251
2013-04-30,0.33903250613802616,0.2757008795795768
2013-05-31,0.19112549782147603,1.3101491768709117
2013-06-30,0.10684526452893195,1.3675397396973432
2013-07-31,-0.22278973075433584,1.1244204225625554
2013-08-31,-0.41332313506614593,0.46127949720509154
2013-09-30,-0.8369535852780663,0.5334482509681715
2013-10-31,-0.433046366182821,0.7022197194528346
2013-11-30,-0.31624786185371345,0.8411377868675185
2013-12-31,0.052257620642559566,0.6555054480638534
2014-01-31,-0.2522188770975209,0.6544437284808691
2014-02-28,-0.0946351073140228,0.3069480926003454
2014-03-31,0.24227019762592672,-0.11630050953410631
2014-04-30,0.6944811548512231,-0.771905113475635
2014-05-31,0.6953203409127084,-0.9703567156054693
2014-06-30,0.3705250215163103,-1.701768951198901
2014-07-31,0.22253976052635238,-1.845762396058137
2014-08-31,0.13786530198640623,-1.723169764413357
2014-09-30,0.2228375771916813,-0.029162681329431006
2014-10-31,0.08492374338875397,0.7143339855950837
2014-11-30,0.04249458354610436,0.852880314990867
2014-12-31,-0.33883427995569093,0.029642853727041008
