data,retorno_estrategia_12m,retorno_benchmark_12m,retorno_cdi_12m,excesso_vs_benchmark,excesso_vs_cdi
2022-10-31,0.050223670366781326,0.050223670366781326,0.11516211187039294,0.0,-0.06493844150361161
2022-11-30,0.07239185125758585,0.07239185125758585,0.11997287174168325,0.0,-0.0475810204840974
2022-12-31,0.05533300804905217,0.05533300804905217,0.12390989066133318,0.0,-0.06857688261228101
2023-01-31,-0.008130196352294394,-0.008130196352294394,0.12827292768710197,0.0,-0.13640312403939636
2023-02-28,-0.02042627422519061,-0.02042627422519061,0.13009935324785848,0.0,-0.1505256274730491
2023-03-31,-0.06709008728940591,-0.06709008728940591,0.1328719938440659,0.0,-0.1999620811334718
2023-04-30,-0.06036530099362514,-0.06036530099362514,0.1338137180876522,0.0,-0.19417901908127733
2023-05-31,-0.06906814718397436,-0.06906814718397436,0.1348093637767065,0.0,-0.20387751096068085
2023-06-30,0.002337204031316986,0.002337204031316986,0.1354459586485106,0.0,-0.13310875461719363
2023-07-31,-0.029339653832149537,-0.029339653832149537,0.13586334188885996,0.0,-0.1652029957210095
2023-08-31,-0.06092775714936427,-0.06092775714936427,0.1355055754343124,0.0,-0.19643333258367668
2023-09-30,-0.047358193091318834,-0.047358193091318834,0.13439244348960577,0.0,-0.1817506365809246
2023-10-31,-0.03720511493664269,-0.03720511493664269,0.13413294938729736,0.0,-0.17133806432394005
2023-11-30,-0.03569581680120837,-0.03569581680120837,0.13295764388089015,0.0,-0.16865346068209852
2023-12-31,0.0008235792167197165,0.0008235792167197165,0.13039434525537663,0.0,-0.12957076603865691
2024-01-31,-0.012050339904475016,-0.012050339904475016,0.12864353771421477,0.0,-0.1406938776186898
2024-02-29,0.0007986271329143424,0.0007986271329143424,0.12732451709783055,0.0,-0.1265258899649162
2024-03-31,0.02404148782854776,0.02404148782854776,0.12350269437164174,0.0,-0.09946120654309398
2024-04-30,0.01987120427252509,0.01987120427252509,0.12316082672303486,0.0,-0.10328962245050977
2024-05-31,0.04645291654105854,0.04645291654105854,0.11993014961660564,0.0,-0.0734772330755471
2024-06-30,0.02995304872962623,0.02995304872962623,0.1167872123429321,0.0,-0.08683416361330587
2024-07-31,0.0294256049000019,0.0294256049000019,0.11496560531039868,0.0,-0.08554000041039678
2024-08-31,0.07442869379039685,0.07442869379039685,0.11198923293293883,0.0,-0.03756053914254198
2024-09-30,0.10595334288566738,0.10595334288566738,0.11047228902114115,0.0,-0.004518946135473767
2024-10-31,0.08302035068596592,0.08302035068596592,0.10970692815498118,0.0,-0.02668657746901526
2024-11-30,0.09186015134138681,0.09186015134138681,0.10835440605118052,0.0,-0.01649425470979371
2024-12-31,0.08307294211576965,0.08307294211576965,0.10875983174468717,0.0,-0.02568688962891752
2025-01-31,0.11852518762506725,0.11852518762506725,0.10927059158334118,0.0,0.00925459604172607
2025-02-28,0.14457402774608497,0.14457402774608497,0.11130779187969098,0.0,0.03326623586639399
2025-03-31,0.1685965490875443,0.1685965490875443,0.11276654012928011,0.0,0.05583000895826418
2025-04-30,0.16670998413390925,0.16670998413390925,0.1146244686830149,0.0,0.05208551545089435
2025-05-31,0.14172988853854518,0.14172988853854518,0.11801075165963937,0.0,0.02371913687890581
2025-06-30,0.12845644584791494,0.12845644584791494,0.12143521446630001,0.0,0.007021231381614923
2025-07-31,0.10383175379319765,0.10383175379319765,0.12553177783396996,0.0,-0.021700024040772314
2025-08-31,0.08627238704830886,0.08627238704830886,0.12884188998162371,0.0,-0.04256950293331485
2025-09-30,0.07363304841032625,0.07363304841032625,0.13314937800432314,0.0,-0.059516329593996886
2025-10-31,0.11694465010576893,0.11694465010576893,0.13705395468211412,0.0,-0.02010930457634519
2025-11-30,0.12959487002464187,0.12959487002464187,0.1399837903616008,0.0,-0.010388920336958929
2025-12-31,0.12776979135474864,0.12776979135474864,0.14324226892248992,0.0,-0.015472477567741283
2026-01-31,0.23162336898277203,0.23162336898277203,0.14495073757409926,0.0,0.08667263140867276
2026-02-28,0.20800317426370674,0.20800317426370674,0.1450833870702064,0.0,0.06291978719350033
2026-03-31,0.1505640981591294,0.1505640981591294,0.1478963512305309,0.0,0.0026677469285985023
2026-04-30,0.13989997405825916,0.13989997405825916,0.1482845888865716,0.0,-0.008384614828312431
