regime,nome_regime,ticker,segmento,meses,retorno_total,retorno_anualizado,volatilidade_anualizada,sharpe,drawdown_maximo,meses_positivos,melhor_mes,pior_mes
EXPANSAO_INFLACIONARIA,Expansão inflacionária,MATB11.SA,Renda Variável,30,0.11704955763901892,0.04527118019811538,0.2780790457006778,-0.0034853144345273306,-0.274212126339088,0.5666666666666667,0.1444964416558152,-0.1976670455908648
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,GC=F,Commodities,8,0.36093834344701015,0.5876606291452033,0.16430332957592073,2.654706421757428,-0.040709481896636146,0.875,0.10567985226599852,-0.040709481896636035
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,NG=F,Commodities,8,1.0982072543369497,2.039293045581365,0.6267287268286635,1.9958618218206599,-0.053001585502911785,0.625,0.46192333418107445,-0.053001585502911785
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,ZC=F,Commodities,8,0.3313316179613994,0.5361349467056951,0.17804816799618817,2.1182361411984134,-0.06646971935007373,0.875,0.10284810126582289,-0.06646971935007373
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,EURBRL=X,Moedas,8,0.11962533776673512,0.18470187924236736,0.07243039498216025,1.2024894181355976,-0.017380413088535218,0.625,0.0482480797448408,-0.012476563371006444
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,JPYBRL=X,Moedas,8,-0.00937729473674842,-0.014032915265585921,0.09612961704225381,-0.7092992916019857,-0.06972265969504865,0.5,0.043616226007120895,-0.027492795558042293
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,USDBRL=X,Moedas,8,0.04419765239534801,0.06702370720965334,0.10582232265221615,0.020752377946964513,-0.046209945119958684,0.5,0.04580991352001096,-0.045945083535431364
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,B5MB11.SA,Renda Fixa,8,0.05153513963716616,0.07829026770480141,0.11452239653398365,0.11496154021056507,-0.058973623003263476,0.375,0.07273688065378314,-0.030517127844122416
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,IB5M11.SA,Renda Fixa,8,0.07377759618815927,0.11268314042338767,0.1302026673271775,0.3613406651410877,-0.06437508098423961,0.625,0.08078696639838001,-0.037052552664901484
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,IMAB11.SA,Renda Fixa,8,0.08253117046188874,0.12631693852417203,0.08986266145616935,0.5740123237521281,-0.034957050955863656,0.375,0.05037109357617919,-0.024617350352201917
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,BOVV11.SA,Renda Variável,8,0.3235576542135481,0.522699818241211,0.18819082472127655,1.9994886016552134,-0.0816346672132745,0.75,0.09029755160888464,-0.04816266201767805
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,FIND11.SA,Renda Variável,8,0.2622109405464701,0.4180707866880249,0.26090700010737294,1.2197446925699347,-0.13816103307893257,0.75,0.13109325924190718,-0.08337303720280465
RECESSAO_DESINFLACIONARIA,Recessão desinflacionária,MATB11.SA,Renda Variável,8,0.5510417554099349,0.9316802270770204,0.18616869586973703,3.205717636921618,-0.004621638302644504,0.75,0.12906688233731756,-0.004621638302644504
ESTAGFLACAO,Estagflação,GC=F,Commodities,5,-0.006790018484950533,-0.016218659248798506,0.19197823714636242,-0.23292815540164014,-0.07737185344119413,0.6,0.07650084730180606,-0.06922467867115578
ESTAGFLACAO,Estagflação,NG=F,Commodities,5,1.0017059414707217,4.2888429108357675,0.443818278226065,4.091607679308877,0.0,1.0,0.3404158778390447,0.018764949459084246
ESTAGFLACAO,Estagflação,ZC=F,Commodities,5,-0.27466216216216044,-0.5373028759423302,0.4420010702787994,-1.592841056531665,-0.2583333333333324,0.4,0.09630757518081468,-0.24027777777777726
ESTAGFLACAO,Estagflação,EURBRL=X,Moedas,5,-0.029283032377432794,-0.06884433404974855,0.14884125193731923,-0.7148803966797808,-0.07658330674859826,0.6,0.02725833723877602,-0.07658330674859826
ESTAGFLACAO,Estagflação,JPYBRL=X,Moedas,5,-0.013262595638711794,-0.031535247109468645,0.13974452528216086,-0.48832639000077166,-0.06019244950977032,0.6,0.03582739239325061,-0.06019244950977032
ESTAGFLACAO,Estagflação,USDBRL=X,Moedas,5,0.014597843563746826,0.035393522865577065,0.1367877340545208,-0.006670158324558884,-0.05404530526334095,0.6,0.04464682226474248,-0.05404530526334095
ESTAGFLACAO,Estagflação,B5MB11.SA,Renda Fixa,5,-0.017179699900369605,-0.04073657977635814,0.045560485371766754,-1.7568871282245027,-0.03349609623110128,0.4,0.010526367627728739,-0.023235321044921542
ESTAGFLACAO,Estagflação,IB5M11.SA,Renda Fixa,5,-0.01362735458256703,-0.0323942349788523,0.055117557871985495,-1.3065728189920751,-0.0354018641800149,0.4,0.01955690145144251,-0.0242158238486897
ESTAGFLACAO,Estagflação,IMAB11.SA,Renda Fixa,5,-0.009761533578997117,-0.02326780618626123,0.03175275929125555,-2.084927853570442,-0.017373134530396128,0.6,0.006363095776932948,-0.012444579727169058
ESTAGFLACAO,Estagflação,BOVV11.SA,Renda Variável,5,-0.06629784757836488,-0.1517964927037201,0.1664840551095556,-1.1596349110935844,-0.12613744436476027,0.4,0.05825165300354307,-0.06567140493667811
ESTAGFLACAO,Estagflação,FIND11.SA,Renda Variável,5,-0.09012917054434888,-0.20282920395878323,0.1974713940647104,-1.2628431146434582,-0.14978902953586337,0.2,0.07017065300738912,-0.0850059082596315
ESTAGFLACAO,Estagflação,MATB11.SA,Renda Variável,5,-0.18880333715817255,-0.39479463000627213,0.12967730307160927,-4.0233872347729065,-0.15114235324141811,0.2,0.0013197878672603913,-0.09789884693427764
