origem,arquivo,caminho,extensao,modificacao_utc,tamanho_bytes,status_atualizacao
graficos,06_11_confirmacao_por_recalibracao.png,outputs/graficos/06_11_confirmacao_por_recalibracao.png,.png,2026-08-05 00:09:01.508631+00:00,91715,Atual ou posterior às bases centrais
graficos,06_11_desempenho_walk_forward.png,outputs/graficos/06_11_desempenho_walk_forward.png,.png,2026-08-05 00:09:00.517763+00:00,366779,Atual ou posterior às bases centrais
graficos,06_11_diferenca_walk_forward.png,outputs/graficos/06_11_diferenca_walk_forward.png,.png,2026-08-05 00:09:01.154644+00:00,258925,Atual ou posterior às bases centrais
graficos,06_11_pesos_cdi_por_recalibracao.png,outputs/graficos/06_11_pesos_cdi_por_recalibracao.png,.png,2026-08-05 00:09:02.068937+00:00,219508,Atual ou posterior às bases centrais
graficos,06_11_rolling_12m_walk_forward.png,outputs/graficos/06_11_rolling_12m_walk_forward.png,.png,2026-08-05 00:09:02.615050+00:00,259101,Atual ou posterior às bases centrais
graficos,06_12_desempenho_modelos_finais.png,outputs/graficos/06_12_desempenho_modelos_finais.png,.png,2026-08-05 00:09:03.578705+00:00,365238,Atual ou posterior às bases centrais
graficos,06_12_drawdown_modelos_finais.png,outputs/graficos/06_12_drawdown_modelos_finais.png,.png,2026-08-05 00:09:04.217175+00:00,343902,Atual ou posterior às bases centrais
graficos,06_12_pesos_oficiais_por_regime.png,outputs/graficos/06_12_pesos_oficiais_por_regime.png,.png,2026-08-05 00:09:04.728958+00:00,206629,Atual ou posterior às bases centrais
graficos,06_12_risco_retorno_modelos_finais.png,outputs/graficos/06_12_risco_retorno_modelos_finais.png,.png,2026-08-05 00:09:05.113267+00:00,160585,Atual ou posterior às bases centrais
graficos,07_02_desempenho_acumulado.png,outputs/graficos/07_02_desempenho_acumulado.png,.png,2026-08-05 00:10:10.890647+00:00,368181,Atual ou posterior às bases centrais
graficos,07_02_drawdown_comparativo.png,outputs/graficos/07_02_drawdown_comparativo.png,.png,2026-08-05 00:10:13.001571+00:00,345910,Atual ou posterior às bases centrais
graficos,07_02_retornos_anuais.png,outputs/graficos/07_02_retornos_anuais.png,.png,2026-08-05 00:10:11.348080+00:00,142523,Atual ou posterior às bases centrais
graficos,07_02_risco_retorno.png,outputs/graficos/07_02_risco_retorno.png,.png,2026-08-05 00:10:12.133954+00:00,166005,Atual ou posterior às bases centrais
modelo_final,alocacoes_iniciais_automaticas.json,outputs/modelo_final/alocacoes_iniciais_automaticas.json,.json,2026-08-05 00:06:12.217116+00:00,2566,Mesma execução provável
modelo_final,manifesto_arquivos.csv,outputs/modelo_final/manifesto_arquivos.csv,.csv,2026-08-05 00:09:05.338478+00:00,3483,Atual ou posterior às bases centrais
modelo_final,metricas_modelo_oficial.json,outputs/modelo_final/metricas_modelo_oficial.json,.json,2026-08-05 00:09:02.949752+00:00,643,Atual ou posterior às bases centrais
modelo_final,modelo_oficial.json,outputs/modelo_final/modelo_oficial.json,.json,2026-08-05 00:09:02.948753+00:00,4436,Atual ou posterior às bases centrais
tabelas,01_status_blocos_bcb.csv,outputs/tabelas/01_status_blocos_bcb.csv,.csv,2026-08-04 23:57:24.648236+00:00,1607,Mesma execução provável
tabelas,01_status_coleta_macro.csv,outputs/tabelas/01_status_coleta_macro.csv,.csv,2026-08-04 23:57:24.632162+00:00,480,Mesma execução provável
tabelas,01_validacao_ativos.csv,outputs/tabelas/01_validacao_ativos.csv,.csv,2026-08-04 23:57:24.591597+00:00,5506,Mesma execução provável
tabelas,01_validacao_series_macro.csv,outputs/tabelas/01_validacao_series_macro.csv,.csv,2026-08-04 23:57:24.614358+00:00,617,Mesma execução provável
tabelas,02_01_ativos_selecionados_utilizados.csv,outputs/tabelas/02_01_ativos_selecionados_utilizados.csv,.csv,2026-08-04 23:57:30.464593+00:00,2099,Mesma execução provável
tabelas,02_04_pontos_atencao_qualidade.csv,outputs/tabelas/02_04_pontos_atencao_qualidade.csv,.csv,2026-08-04 23:57:30.949429+00:00,337,Mesma execução provável
tabelas,02_04_qualidade_ativos.csv,outputs/tabelas/02_04_qualidade_ativos.csv,.csv,2026-08-04 23:57:30.918205+00:00,1090,Mesma execução provável
tabelas,02_04_qualidade_series_macro.csv,outputs/tabelas/02_04_qualidade_series_macro.csv,.csv,2026-08-04 23:57:30.934784+00:00,391,Mesma execução provável
tabelas,02_05_periodos_disponiveis_ativos.csv,outputs/tabelas/02_05_periodos_disponiveis_ativos.csv,.csv,2026-08-04 23:57:31.169229+00:00,550,Mesma execução provável
tabelas,02_05_precos_periodo_comum.csv,outputs/tabelas/02_05_precos_periodo_comum.csv,.csv,2026-08-04 23:57:31.140577+00:00,322338,Mesma execução provável
tabelas,02_06_resumo_desempenho_ativos.csv,outputs/tabelas/02_06_resumo_desempenho_ativos.csv,.csv,2026-08-04 23:57:31.365561+00:00,2331,Mesma execução provável
tabelas,02_06_resumo_desempenho_ativos_formatado.csv,outputs/tabelas/02_06_resumo_desempenho_ativos_formatado.csv,.csv,2026-08-04 23:57:31.385442+00:00,1029,Mesma execução provável
tabelas,02_07_resumo_dados_macro_mensais.csv,outputs/tabelas/02_07_resumo_dados_macro_mensais.csv,.csv,2026-08-04 23:57:31.532556+00:00,1275,Mesma execução provável
tabelas,02_08_resumo_precos_normalizados.csv,outputs/tabelas/02_08_resumo_precos_normalizados.csv,.csv,2026-08-04 23:57:31.611507+00:00,1512,Mesma execução provável
tabelas,02_09_resumo_retorno_acumulado.csv,outputs/tabelas/02_09_resumo_retorno_acumulado.csv,.csv,2026-08-04 23:57:31.710070+00:00,856,Mesma execução provável
tabelas,02_10_resumo_volatilidade_movel.csv,outputs/tabelas/02_10_resumo_volatilidade_movel.csv,.csv,2026-08-04 23:57:31.832105+00:00,1671,Mesma execução provável
tabelas,02_11_resumo_drawdown_ativos.csv,outputs/tabelas/02_11_resumo_drawdown_ativos.csv,.csv,2026-08-04 23:57:31.917212+00:00,1982,Mesma execução provável
tabelas,02_12_pares_correlacao_retornos.csv,outputs/tabelas/02_12_pares_correlacao_retornos.csv,.csv,2026-08-04 23:57:32.024279+00:00,4269,Mesma execução provável
tabelas,02_12_resumo_correlacao_retornos.csv,outputs/tabelas/02_12_resumo_correlacao_retornos.csv,.csv,2026-08-04 23:57:32.040492+00:00,242,Mesma execução provável
tabelas,02_16_conferencia_final_arquivos.csv,outputs/tabelas/02_16_conferencia_final_arquivos.csv,.csv,2026-08-04 23:57:42.033924+00:00,895,Mesma execução provável
tabelas,02_diagnostico_imab11_por_ano.csv,outputs/tabelas/02_diagnostico_imab11_por_ano.csv,.csv,2026-08-04 23:57:32.646994+00:00,534,Mesma execução provável
